Conditions,Outcome Measures
COVID-19 (Healthy Volunteers),"Presence of immediate adverse events|Presence of solicited injection site or systemic reactions|Presence of unsolicited adverse events|Presence of serious adverse events|Presence of adverse events of special interest|Presence of medically-attended adverse events|Neutralizing antibody titer at Day 1|Neutralizing antibody titer at Day 36|Neutralizing antibody titer fold-rise post-vaccination|2-fold rise and 4-fold-rise in neutralization antibody titer|Responders, as determined by neutralizing antibody titers at Day 36|Neutralizing antibody titer at all pre-defined time points|Neutralizing antibody titer fold-rise post-vaccination at all pre-defined time points|2-fold rise and 4-fold-rise in neutralization antibody titer at all pre-defined time points|Responders, as determined by neutralizing antibody titers at each pre-defined time point|Binding antibody concentrations|Binding antibody fold-rise|2-fold-rise and 4-fold rise in binding antibody concentration|Responders, as determined by binding antibody concentrations|Occurrences of laboratory-confirmed symptomatic COVID-19|Occurrences of symptomatic COVID-19 episodes associated with hospitalization|Occurrences of severe symptomatic COVID-19|Occurrences of death associated with symptomatic COVID-19|Occurrences of serologically-confirmed SARS-CoV-2 infection, Occurrence of immediate systemic reactions|Occurrence of solicited local Adverse Events (AEs) during 7 days post each vaccination|Occurrence of solicited systemic AEs during 7 days post each vaccination|Occurrence of unsolicited AEs during 28 days post each vaccination|Occurrence of Serious Adverse Events (SAEs), Medically Attended Adverse Events (MAAEs) and Adverse Events of Special Interest (AESIs) during the whole study period|GMT of IgG antibody to the SARS-CoV-2 RBD measured by Enzyme-linked Immunosorbent Assay (ELISA)|GMFR of IgG antibody to the SARS-CoV-2 RBD from baseline measured by ELISA|Percentage of participants with ≥ 4-fold rise from baseline in ELISA IgG titer|GMT of neutralizing antibody to the SARS-CoV-2 measured by pseudovirus and wild-type virus neutralization assays|GMFR of neutralizing antibody to the SARS-CoV-2 from baseline measured by pseudovirus and wild-type virus neutralization assays|Percentage of participants with ≥ 4-fold rise from baseline in pseudovirus and wild-type neutralizing antibody titer|Cell-mediated response for both Th1 and Th2 (e.g. INF-γ, IL-4 using Enzyme-linked ImmunoSpot (ELISpot) or other system, Occurrence of immediate systemic reactions - Stage 1|Occurrence of solicited local Adverse Events (AEs) during 7 days post each vaccination - Stage 1|Occurrence of solicited systemic AEs during 7 days post each vaccination - Stage 1|Occurrence of unsolicited AEs during 28 days post each vaccination - Stage 1|Occurrence of Serious Adverse Events (SAEs), Medically Attended Adverse Events (MAAEs) and Adverse Events of Special Interest (AESIs) during the whole study period - Stage 1|(Only in Sentinel group) Occurrence of out-of-normal range clinical laboratory test results (including change from baseline values) during 7 days post 1st vaccination - Stage 1|GMT of IgG antibody to the SARS-CoV-2 RBD measured by Enzyme-linked Immunosorbent Assay (ELISA) - Stage 2|GMFR of IgG antibody to the SARS-CoV-2 RBD from baseline measured by ELISA - Stage 2|Percentage of participants with ≥ 4-fold rise from baseline in ELISA IgG titer - Stage 2|GMT of neutralizing antibody to the SARS-CoV-2 measured by pseudovirus and wild-type virus neutralization assays - Stage 2|GMFR of neutralizing antibody to the SARS-CoV-2 from baseline measured by pseudovirus and wild-type virus neutralization assays - Stage 2|Percentage of participants with ≥ 4-fold rise from baseline in pseudovirus and wild-type neutralizing antibody titer - Stage 2|Cell-mediated response for both Th1 and Th2 (e.g. INF-γ, IL-4 using Enzyme-linked ImmunoSpot (ELISpot) or other system) - Stage 2|GMT of IgG antibody to the SARS-CoV-2 RBD measured by ELISA - Stage 1|GMFR of IgG antibody to the SARS-CoV-2 RBD from baseline measured by ELISA - Stage 1|Percentage of participants with ≥ 4-fold rise from baseline in ELISA IgG titer - Stage 1|GMT of neutralizing antibody to the SARS-CoV-2 measured by pseudovirus and wild-type virus neutralization assays - Stage 1|GMFR of neutralizing antibody to the SARS-CoV-2 from baseline measured by pseudovirus and wild-type virus neutralization assays - Stage 1|Percentage of participants with ≥ 4-fold rise from baseline in pseudovirus and wild-type neutralizing antibody titer - Stage 1|Cell-mediated response for both Th1 and Th2 (e.g. INF-γ, IL-4 using ELISpot or other system) - Stage 1|Occurrence of immediate systemic reactions - Stage 2|Occurrence of solicited local AEs during 7 days post each vaccination - Stage 2|Occurrence of solicited systemic AEs during 7 days post each vaccination - Stage 2|Occurrence of unsolicited AEs during 28 days post each vaccination - Stage 2|Occurrence of SAEs, MAAEs and AESIs during the whole study period - Stage 2, Neutralizing Antibody Titer at Day 1|Neutralizing Antibody Titer at Day 22|Neutralizing Antibody Titer at Day 36|Fold-rise of Neutralizing Antibody Titer at Day 22|Fold-rise of Neutralizing Antibody Titer at Day 36|2-fold and 4-fold Rise in Neutralization Antibody titer at Day 22|2-fold and 4-fold Rise in Neutralization Antibody titer at Day 36|Percentage of Participants with Neutralizing Antibody Seroconversion at Day 22|Percentage of Participants with Neutralizing Antibody Seroconversion at Day 36|Number of Participants with Immediate Adverse Events|Number of Participants With Solicited Injection Site or Systemic Reactions|Number of Participants with Unsolicited Adverse Events|Number of Participants with Medically Attended Adverse Events|Number of Participants with Serious Adverse Events (SAEs)|Number of Participants with Adverse Events of Special Interest|Number of Participants with Out-of-range Biological Test Results|Binding Antibody Concentration|Binding Antibody Concentration Ratio|Fold Rise in Binding Antibody Concentration|Neutralizing Antibody Titer|Fold-rise in Neutralization Titer at Day 181 and Day 366 (Cohort 1) and Day 202 and Day 387 (Cohort 2)|2-fold and 4-fold Rise in Neutralization Titer [Post/Pre] at Day 181 and 366 (Cohort 1) and Day 202 and Day 387 (Cohort 2)|Percentage of Participants with Neutralizing Antibody Seroconversion at Day 181 and 366 (Cohort 1) and Day 202 and Day 387 (Cohort 2)|Number of Participants with Virologically-confirmed COVID-19-like Illness|Number of Participants with Serologically-confirmed SARS-CoV-2 Infection|Correlates of Risk / Protection Based on Antibody Responses to SARS-CoV-2"
COVID-19 (SARS-CoV-2),Incidence rate of people infected with SARS-CoV-2 8 days after randomization|SARS-CoV-2 genome sequence|Incidence rate of appearance of symptoms compatible with COVID 19|Time spent in testing the total number of participants in the study.|Comparison of the diagnostic sensitivity of rapid antigen tests for SARS-CoV-2 compared to PCR in asymptomatic subjects.|Comparison of the diagnostic sensitivity of rapid antigen tests for SARS-CoV-2 using a nasopharyngeal swab sample compared to sample obtained trough saliva|Presence of viable SARS-CoV-2 from cell culture|Satisfaction in relation to the test procedure
COVID-19 Complicated With Refractory Intestinal Infections,Number of participants with improvement from severe type to common type
COVID-19 Confirmed Cases|COVID-19 Mortality,COVID-19 related-mortality|COVID-19 confirmed cases
COVID-19 Convalescent Plasma Treatment,"Death, for any reason|For patients with respiratory support, the time to take one's own breath (extubation)|Stay in the intensive care unit (ICU)|Time to disconnect CPAP respiratory support|Time to elimination of SARS-Cov-2 (RT-PCR)|Time to serological response (anti-SARS-COv-2 antibodies), 28-day mortality|SARS-CoV-2 negative conversion rate"
COVID-19 Disease,"MRI imaging data|Proteomic analysis|Peripheral blood leukocyte Cytof Mass Cytometry Analysis for cell population frequency|CODEX (high dimensional microscopy) workflow analysis of defined regions on brain autopsy specimens, Laboratory Assays|VEGF-A|VEGF-C|VEGF-D|Tie-2|Flt-1|PlGF|FGF, Proportion of patients alive and free of respiratory failure (Ordinal Scale scores 1-4)|The safety of LAU-7b therapy will be assessed through the monitoring of treatment emergent adverse events, compared to placebo|Health status of the patient on the 7-point Ordinal Scale compared to placebo|Rate of all-causes death, depicted by a change from baseline in the Ordinal Scale score to category 7|Rate of COVID-19 disease-related aggravation, depicted by a change from baseline in the ordinal scale score of at least one category, compared to placebo|Rate of COVID-19 disease-related transfer to intensive care unit, depicted by a change from baseline in the ordinal scale score to categories 5 or 6, compared to placebo|Rate of COVID-19 disease-related transfer to mechanical ventilation, depicted by a change from baseline in the ordinal scale score to category 6, compared to placebo|Mean change from baseline of the ordinal scale patient health status as a function of assessment time, compared to placebo|Time to an improvement of one category on the ordinal scale patient health status, compared to placebo|Time to recovery, defined here as the time to reach categories 2 or 1 on the ordinal scale patient health status (first occurrence if more than once), compared to placebo|Time to mechanical ventilation, defined here as time to reach category 6 on the ordinal scale patient health status, compared to placebo|Time to death, defined here as a time to reach category 7 on the ordinal scale patient health status, censored to Day 29 if it happens later than Day 29, compared to placebo|Duration of hospitalization (days) within the study period Days 1-29, compared to placebo|Time to attain an undetectable viral load through oropharyngeal swabs done at specified times, compared to placebo|The change from baseline in the score obtained on the EQ-5D-5L quality-of-life survey, Correlation of CD4+ and CD8+ T cell absolute counts to disease outcomes, Viral Load Change|Safety and Tolerability|Clinical Efficacy|Change in COVID-19 Clinical Status|Oxygen Saturation, Mortality rate, discrimination|Calibration|Net benefit"
"COVID-19 Disease, Severe Form",Evaluation of the impact of age on mortality at 30 days after admission to intensive care
COVID-19 Disease|Nomogram Model,the consistency of predicted severe rate and observed severe rate of COVID-19 patients|Duration of severe illness
"COVID-19 Disease|SARS Pneumonia|Pneumonia, Viral|COVID-19 Vaccine","Number and severity of solicited local and systemic adverse events (AEs)|Number, severity, and relatedness of clinically significant hematological and biochemical measurements|Number, severity and relatedness of all unsolicited AEs|Number, severity and relatedness of serious adverse events (SAEs)|Number, severity and relatedness of medically-attended AEs (MAAEs)|Number, severity and relatedness of adverse events of special interest (AESI) , including AESI relevant to COVID-19, and potential immune-mediated medical conditions (PIMMC)|50% and 80% neutralizing antibody (NT50 and NT80) geometric mean titer (GMT) against SARS-CoV-2 pseudovirus|Geometric mean fold rise (GMFR) (from baseline) in NT50 and NT80 against SARS-CoV-2 pseudovirus|Percentage of subjects with NT50 and NT80 seroresponses against SARS-CoV-2 pseudovirus as defined by (1) a ≥ 4-fold increase from baseline, and (2) a ≥ 10-fold increase from baseline"
"COVID-19 Disease|Thromboembolism, Venous",the cumulative proportion of any distal or proximal deep venous thrombosis or of symptomatic pulmonary embolism|the cumulative proportion of any distal or proximal deep venous thrombosis or of symptomatic pulmonary embolism plus the asymptomatic incidentally detected pulmonary embolism
COVID-19 Drug Treatment,"Change in a severity rating on a 7-point ordinal scale|Percentage of patients reporting each severity rating on a 7-point severity ordinal scale|Duration of mechanical ventilation|Evaluate the safety of sarilumab in patients with severe pneumonia caused by COVID 19|Number of ventilator free days in the first 28 days|Patients requiring mechanical ventilation|Change from baseline in PaO2/FiO2 in patients on mechanical ventilation|Time to improvement in oxygenation for at least 48 hours|Time to saturation > 93.9% on room air|Time to resolution of fever without antipyretics for at least 48 hours (Tº > 36.6ºC - axilla; > 37.2ºC -oral; > 37.8 -rectal or tympanic)|Changes from baseline in white blood cell count if available on V2, V3, V4, V5, and V6|Changes from baseline in hemoglobin levels if available on V2, V3, V4, V5, and V6|Changes from baseline in platelet cell count if available on V2, V3, V4, V5, and V|Changes from baseline in D-Dimer leves if available on V2, V3, V4, V5, and V6|Number of deaths due to any cause|Organ failure|Changes from baseline in C Reactive protein if available on V2, V3, V4, V5, and V6|Changes from baseline in Ferritin leves if available on V2, V3, V4, V5, and V6|Changes from baseline in Troponin leves if available on V2, V3, V4, V5, and V6|Changes from baseline in blood urea nitrogen leves if available on V2, V3, V4, V5, and V6|Changes from baseline in creatinine leves if available on V2, V3, V4, V5, and V6|Changes from baseline in blilirrubin leves if available on V2, V3, V4, V5, and V6|Changes from baseline in Aspartate transaminase (AST) leves if available on V2, V3, V4, V5, and V6|Changes from baseline in Alanine transaminase (ALT) leves if available on V2, V3, V4, V5, and V6, Reduction in SARS-CoV-2 viral load|Number of patients with partial or complete response in COVID-19 clinical symptoms|Number of patients with worsening in the clinical condition|Number of patients with adverse events as a measure of safety and tolerability|Ivermectin concentrations measured in plasma|Evaluation of reactivity of the antibodies against SARS-CoV-2, C reactive protein|Admission to intensive care unit (ICU)|Occurrence of mechanical ventilation|Death|Composite occurrence of admission to ICU, mechanical ventilation or death (what occur first)|Time from randomization to discharge|Proportion of patients not requiring supplemental oxygen at day 15|Significative differences in serum lactate dehydrogenase"
COVID-19 Experience,Direct Experience with COVID-19 virus|Family's overall experience with COVID-19 pandemic|Child's experience with cancellations and access to services|Caregiver's experience during COVID-19|stress or unpleasant experiences endured by the caregiver during COVID-19|Activities the caregiver engaged in during COVID-19|Describe the caregiver's parenting during COVID-19|The impact of school closure on the child|Describing the child's character|Childs daily routine|Childs interest about COVID-19|COVID-19 preventative measures.|How can the SBHC help?
COVID-19 Induced Pneumonia|Covid19,Time to sustained improvement of one category (i.e. two consecutive days) from randomisation|Efficacy according to the National Early Warning Score (NEWS)|Oxygenation|Ventilation|Hospitalisation - Length|Hospitalisation - Proportion on ICU|Mortality
COVID-19 Infection,"Study recruitment|Acceptability of study|Adherence to the practice|Change in resilience|Perceive stress and psychological impact|Breath holding time, Two-weeks survival rate|Rate of undetectable RT-PCR of SARS-CoV-2|Rate of death|Hypotension|Hypothermia and hyperthermia|Pneumonia severity according to WHO|Pneumonia severity according to PSI (Hung et al 2017)|Rate of no cough|Rate of no dyspnea|Rate of no fever|Rate of no requiring supplemental oxygen|Rate of SARS-Cov-2 undetectable|Recovery time|Critical admission rate|Mechanical ventilation rate|Changes in Activity of Daily Living (ADL) Activity of Daily Living)|Changes in Activity of Daily Living IADL (Instrumental Activity of Daily Living)|The number and dose of added corticosteroids, immonumodulators or immunosuppressants, Efficacy of Enzalutamide|Disease progression|Tollerability of Enzalutamide, Number of patients admitted with confirmed COVID19 infection|Mortality (ICU)|Mortality (60-day)|Duration of hospitalization in the ICU|Proportion of patients requiring invasive mechanical ventilation|Proportion of patients developing infections during ICU stay|Proportion of patients developing thromboembolic events during ICU stay|Proportion of patients requiring tracheotomy during ICU stay, Change of adherence of the intervention|Change of physical performances, The percentage of patients who achieve complete recovery|Changes in Chest Imaging|Clinical Status|Time to clinical recovery|Percentages of patients requiring different types of oxygen therapy, Primary Endpoint|Requirement for mechanical ventilation and/or extracorporeal membrane oxygenation (ECMO)|Infusion-related reactions during 24 hours from the time of infusion|Patient survival at 28 days|Patient survival at 60 days|Requirement for open-label clazakizumab|Time in the intensive care unit (ICU)|Time in the hospital|Time to mechanical ventilation|Clinical status improvement assessed by the World Health Organization (WHO) Clinical Progression Scale at day 14|Clinical status improvement assessed by World Health Organization (WHO) Clinical Progression Scale at day 28|Change in Radiologic Assessment of Lung Edema (RALE) at day 14|Change in Radiologic Assessment of Lung Edema (RALE) at day 28, Safety of inhaled rhDNase1 in non-ventilated COVID-19 patients by reporting of adverse events|Time to first study participant enrolment|Enrolment rate|Eligible patient consent rate|Completeness of drug delivery|Completeness of study-specific tests or procedures|Completeness of data collection|Hypoxia rate|Supplemental oxygen requirement type|Progression to mechanical ventilation rate|Duration of mechanical ventilation|Radiological progression|Renal dysfunction rate|Renal dysfunction extent|Secondary bacterial infections rate|Duration of ICU admission|Time to hospital discharge or in-hospital mortality, Time to onset of change in the patient's clinical condition|Safety and tolerability evaluation - treatment-related adverse events will be assessed by CTCAE|Length of in-hospital stay|Survival rate|Intubation rate|Proinflammatory markers levels, Imaging data at Baseline|Imagine data at Follow-up, Change in severity of COVID-19 infection|Number of days with any symptom of anosmia|Maximal intensity attained in overall assessment of symptoms of COVID-19 infection as measured on Visual Analogue Scale (VAS).|Number of days where rescue medication is required, Sensitivity of diagnostic test|Specificity of diagnostic test|Concordance of the novel point-of-care diagnostic test|Positive predictive value (PPV) of the novel point-of-care diagnostic test|Negative predictive value (NPV) of the novel point-of-care diagnostic test|Viral load metrics|Disease progression, Characterization of the dynamic changes of innate and adaptive immune responses during SARS CoV 2 infection and convalescence.|Identification of genetic variants that are associated with either severe/lethal COVID-19 or resistance to SARS CoV 2 infection.|Measurement of proinflammatory/anti inflammatory cytokines produced during SARS CoV 2 infection and convalescence, including the IFN signature response.|Survey of other potential blood proteomic biomarkers of disease.|Characterization of serological responses against SARS CoV 2, other viruses or microbiota, and host antigens.|Characterization of intrapatient SARS-CoV-2 genetic variation andevolution during infection and convalescence., Survival|Clinical improvement ie percentage of patients not fulfilling the criteria for severe disease, Factors that predict disease prognosis and outcomes in COVID-19 patients - Hospitalization|Factors that predict disease prognosis and outcomes in COVID-19 patients - ICU|The demographic and clinical characteristics of COVID-19 patients|The demographic and clinical characteristics of COVID-19 patients-Age at diagnosis|The demographic and clinical characteristics of COVID-19 patients -Percentage of patients in each age range|The demographic and clinical characteristics of COVID-19 patients with available PCR (Polymerase Chain Reaction) results|The demographic and clinical characteristics of COVID-19 patientsTime since first symptom until diagnosis|The demographic and clinical characteristics of COVID-19 patients - Physical examination|The demographic and clinical characteristics of COVID-19 patients - Physical examination of patients who are pregnant|The demographic and clinical characteristics of COVID-19 patients - Physical examination Temperature|The demographic and clinical characteristics of COVID-19 patients - Physical examination Heart rate (bmp)|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Hematology, Hemoglobin|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Hematology, Hemoglobin II|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Hematology, Red Blood Cells|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Hematology, Red Blood Cells II|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Hematology: Platelet, Leukocyte, Neutrophils, Lymphocytes, Monocytes, Eosinophils, Basophils|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Hematology: Platelet, Leukocyte, Neutrophils, Lymphocytes, Monocytes, Eosinophils, Basophils II|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Hematology- INR (International Normalized Ratio)|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Hematology- INR II|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Biochemistry: Glucose, Cholesterol, Triglycerides|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Biochemistry: Glucose, Cholesterol, Triglycerides II|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Biochemistry: Bilirubin|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Biochemistry: Bilirubin II|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Other Values: Creatinine, Glucose|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Other Values: Creatinine, Glucose II|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Other Values: Procalcitonin|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Other test: PH (Potential Hydrogen), O2 Saturation, FIO2 (Fractional Inspired Oxigen), PAFI [Blood pressure of oxygen / inspired fraction of oxygen (PaO2/FiO2)]|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Other test: PH|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Other test: PH II|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Other test: O2 saturation, FIO2, PAFI|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Other test: O2 saturation, FIO2, PAFI II|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Other test: pCO2 (partial pressure of carbon dioxide), pO2 (partial pressure of oxygen)|The demographic and clinical characteristics of COVID-19 patients - Laboratory values: Other test: pCO2, pO2 II|The demographic and clinical characteristics of COVID-19 patients- Comorbidities, Medication, Symptoms|The patient management (treatment and procedures) in the target population|The outcomes of COVID-19 (discharge, hospitalization, transfer to ICU/ mechanical medical ventilation, in-hospital death) in correlation to patients' clinical and demographic characteristics, and treatment received, SARS-CoV-2 viral load|Rates of AEs and SAEs including laboratory assessments|Viral shedding duration|Hospital Admission, Seroconversion against SARS-CoV2 in children|Measure of Ab antiN and Ab anti-S1/2|Neutralization activity|Positive qPCR in children|correlation between different Ab and qPCR and neutralization activity|Protective immunity|duration of viral carriage in stool, saliva and or nasopharynx|correlation between antibody profile and viral clearance|Ab profile and memory of immunity|saliva biofluid characteristics of COVID-19 infected|Presence of the virus|Reinfection|Transmission of the virus to the family|Immune response|Mucosal immunity|seroconversion against SARS-CoV2 in parents|Measure of Ab antiN and Ab anti-S1 and neutralization activity|Positive qPCR in parents|correlation between different Ab and qPCR, Platelet activation intensity with the occurrence of clinical thrombotic complications, To compare the efficacy of zavegepant (BHV-3500) to placebo in subjects hospitalized with COVID-19 infection requiring supplemental oxygen, using a six-point rating scale at Day 15. .|Proportion of subjects who have a 6-point severity rating of 5 or 6, are alive, and do not use supplemental oxygen as a procedure at Day 29.|Proportion of subjects who have a 6-point severity rating of 2 or 3, or use any ventilation or high-flow nasal cannula as procedures, on any day through Day 29.|Proportion of subjects admitted into an ICU on any day through Day 29 from AE eCRFs.|Proportion of subjects who have a 6-point severity rating of 3, 4, 5, or 6, are alive, and do not use invasive mechanical ventilation as a procedure at Day 15. The analogous definition is applied to Day 29.|Proportion of subjects who have a 6-point severity rating of 4, 5 or 6, or use a low- or high-flow nasal, are alive, and do not use any ventilation at Day 15. The analogous definition is applied to Day 29.|Difference between treatment groups in the mean 6-point severity rating at Day 29|Number of days from baseline to the first day through Day 29 with any 6-point severity rating greater than baseline.|Number of days from baseline to the first of any 2 consecutive days through Day 29 with all SpO2/FiO2 ratios > 400 on both days.|Number of days from baseline to the first day through Day 29 with ≥ 1-point decrease in any NEWS2 score from baseline.|Number of days from baseline to the first day through Day 29 with all NEWS2 scores < 2 on that day.|Mean change from baseline in NEWS2 score at Days 15 and 29 for subjects who are alive at these time points|Proportion of subjects who have a 6-point severity rating of 5 or 6, are alive, and do not use supplemental oxygen as a procedure at Day 15.|Proportion of subjects who are discharged from the hospital, have a 6-point severity rating of 6 on any day after discharge, and use supplemental oxygen on any day after discharge.|Mean number of days with respiratory rate > 24 breaths/minute through Day 29 for subjects who are alive at Day 29 and do not use invasive mechanical ventilation.|Mean number of days with supplemental oxygen use through Day 29 for subjects who are alive at Day 29. A day in which any 6-point severity rating is 2, 3, or 4, or supplemental oxygen is used as a procedure counts.|Number of days from baseline to the first day through Day 29 on which any SpO2 ≥ 90%, any 6-point severity rating is 5 or 6, and no supplemental oxygen is used as a procedure.|Mean number of ventilator-free days through Day 29 for subjects who are alive at Day 29.|Mean SOFA total scores at ICU admission and Day 29 (if still in ICU), from SOFA and AE eCRFs.|Mean number of days of hospitalization through Day 29 for subjects who are alive on Day 29. All days on study on or before hospitalization discharge are days of hospitalization, from 6-point severity rating scale eCRFs|Number of days from baseline to the first of any 2 consecutive days through Day 29 in which all temperatures show lack of fever on both days and no antipyretics are used on either day.|Number of subjects with deaths, SAEs, severe AEs, and Grade 3 or 4 laboratory test abnormalities at any time on study.|Number and percentage of subjects with severe or life-threatening bacterial, invasive fungal, or opportunistic infections at any time through Day 29 from AE/SAE eCRFs.|Number and percentage of subjects with intranasal administration reactions at any time through Day 29 from AE/SAE eCRFs.|Proportion of subjects with ≥ 50% reduction in eGFR from baseline at any time on study from laboratory test eCRFs., Number of participants who require hospital admission and require supplemental oxygen.|Rate of COVID-19 related hospital admission in patients with SARS-CoV-2 infection.|Number of supplementary oxygen-free days at 28 days (from randomisation).|Number of ventilator-free days at 28 days (from randomisation).|To evaluate overall mortality.|Time to worst point on the scale or deterioration of two points or more (from randomisation) on a 9-point category ordinal scale., Patient medical files, Change in participation|Change in patient quality of life|Presence of MRI abnormalities|Neurological symptoms|Deficits in cognition|Deficits in memory|Deficits in visual attention & task switching|Deficits in selective attention, cognitive flexibility & processing speed|Deficits in working memory, attention & executive function|Change in subjective cognitive complaints|Change in depression/anxiety|Change in post-traumatic stress symptoms|Change in family burden|Change in family quality of life|MRI abnormalities (specific), Change in psychosocial outcomes|Change in stress-related outcomes|Demographic and occupational factors associated psychological and stress-related outcomes, Baseline IgG Assay Information|Change in IgG Assay Information|Compare seroprevalence of anti-SARS-CoV-2 IgG antibodies between groups|Impact of COVID-19 Pandemic on Perceived Wellness and Job Satisfaction, COVID-19 infection, Invasive ventilation or death|Ventilation|Death|Secondary infections|Digestive tract hemorrhage|Change in 7 points scale, Qualitative method validation (yes/ no)|Quantitative method validation (antibody concentrations)|Immune cell repertoire sequencing"
COVID-19 Infection in Hematological Malignancies Patients,Epidemiology of COVID-19 infection in patients with hematological malignancies
COVID-19 Infections,"IgG positive, Lower Murray lung injury score|The difference of PaO2/FiO2 between two groups|Lower Sequential Organ Failure Assessment (SOFA) score|Mechanical ventilation support|Clearance of noval coronavirus|All-cause mortality"
COVID-19 Infections in Cancer Patients,develop a comprehensive registry database
COVID-19 Infection|ANAKINRA Treatment|Optimized Standard of Care (oSOC),"Treatment success|OMS progression scale (on a 7 point ordinal scale)|Overall survival|Time to ICU admission|Time to ventilatory support|Change in National Early Warning Score (NEW)from baseline to Day 3, Day 10, Day 14 and Day 28|Change in inflammatory parameter|Hospital length of stay|ICU parameter|Number of participants with treatment-related adverse events as assessed by CTCAE v4.0|Predictors of efficacy of Anakinra"
COVID-19 Infection|COVID-19-Associated Acute Respiratory Distress Syndrome,"Incidence of composite serious adverse events (Pilot)|Patients alive without grade 3, 4 infusional toxicity (Phase II)|Patients alive with grade 3 or 4 infusional toxicity (Phase II)|Patients not alive (Phase II)|Proportion of successfully extubated patients who present intubated on ventilator support (Pilot)|Rate of successful progression to intubation in patients who require supplemental oxygen but who are otherwise able to breathe without assistance (Pilot)|Overall survival rate (Pilot)|Survival rate in patients who present intubated on ventilator support (Pilot)|Survival rate in patients who require supplemental oxygen but who are otherwise able to breathe without assistance (Pilot)|Determine the treatment effect on clinical parameters, oxygenation and respiratory parameters|Hospitalization stay (Pilot)|Intensive care unit stay (Pilot)|Incidence of infusion-related adverse events (Pilot)"
COVID-19 Infection|Cancer Patients|General Population,"in-hospital mortality secondary to COVID-19 among patients treated with convalescent plasma|safety of the use of convalescent plasma drom COVID 19 donors|Mortality at 30 days, 90 days, 6 months and 1 year|in-hospital Mortality COVID-19 related compared with non-treated population according to Chilean official reports|Number of days of hospitalization in high complexity facilities after convalescent plasma use|Number of days of hospitalization in intensive care unit after convalescent plasma use|Number of days of mechanical ventilatory support in patients after convalescent plasma use|Total number of days of mechanical ventilatory support|Total number of hospitalization days in patients treated with convalescent plasma|Number of hospitalization days in patients after treatment with convalescent plasma|Viral load measuring|Immunological response in treated patients (COVID19-Immunoglobulin M and Immunoglobulin G, neutralizing antibodies)|Negativization of COVID 19 load since convalescent plasma use|Negativization of COVID 19 load since hospitalization|Negativization of COVID 19 load since first reported symptoms COVID-19 related|Donor Interferon Gamma profile characterization|Donor Granulocyte Macrophage Colony Stimulating Factor characterization|Donor Tumor Necrosis Factor Alfa characterization|Donor Interleukin -1 beta characterization|Donor Interleukin-2 characterization|Donor Interleukin-4 characterization|Donor Interleukin-6 characterization|Donor Interleukin-8 characterization|Donor Interleukin-10 characterization|Receptor Interferon Gamma profile characterization|Receptor Granulocyte Macrophage Colony Stimulating Factor characterization|receptor Tumor Necrosis Factor Alfa characterization|receptor Interleukin -1 beta characterization|Receptor Interleukin-2 characterization|Receptor Interleukin-4 characterization|Receptor Interleukin-6 characterization|Receptor Interleukin-8 characterization|Receptor Interleukin-10 characterization"
COVID-19 Infection|Encephalitis,Change of neurodegeneration markers level
COVID-19 Infection|Genitourinary Cancer|Benign Urologic Conditions,"Proportion of patients with a new diagnosis of GU|Proportion of GU cancer patients, with active disease or in remission|Proportion of patients with the benign urologic condition"
